MJdatet, Time, PRN, Az, Ele, Lat, Lon, Stec, Vtec, S4
52947.00104,0.025,1,116.57,36.22,-17.657,315.775,103.92,66.17,-99
52947.00139,0.033333,1,116.27,36.19,-17.64,315.787,102.63,65.31,-99
52947.00208,0.05,1,115.69,36.14,-17.607,315.812,102.63,65.24,-99
52947.00243,0.058333,1,115.39,36.11,-17.59,315.824,100.84,64.06,-99
52947.00278,0.066667,1,115.1,36.08,-17.574,315.836,98.95,62.81,-99
52947.00313,0.075,1,114.81,36.05,-17.557,315.848,99.02,62.82,-99
52947.00347,0.083333,1,114.51,36.02,-17.54,315.861,99.15,62.87,-99
52947.00417,0.1,1,113.93,35.96,-17.506,315.885,99.15,62.8,-99
52947.00451,0.108333,1,113.63,35.93,-17.489,315.897,99.78,63.17,-99
52947.00486,0.116667,1,113.34,35.9,-17.472,315.909,98.47,62.3,-99
52947.00556,0.133334,1,112.76,35.84,-17.438,315.933,98.47,62.23,-99
52947.00868,0.208334,1,110.12,35.53,-17.282,316.039,98.47,61.88,-99
52947.00903,0.216667,1,109.83,35.5,-17.264,316.05,97.74,61.37,-99
52947.01007,0.241667,1,108.96,35.39,-17.211,316.085,97.74,61.25,-99
52947.01042,0.25,1,108.66,35.35,-17.193,316.097,97.06,60.77,-99
52947.0125,0.3,1,106.92,35.12,-17.085,316.165,97.06,60.51,-99
52947.02118,0.508334,1,99.71,33.97,-16.613,316.442,97.06,59.2,-99
52947.02257,0.541667,1,98.57,33.75,-16.534,316.486,97.06,58.96,-99
52947.02465,0.591668,1,96.87,33.42,-16.414,316.551,97.06,58.58,-99
52947.025,0.600001,1,96.59,33.36,-16.394,316.562,97.3,58.66,-99
52947.02639,0.633334,1,95.46,33.13,-16.312,316.605,97.3,58.39,-99
52947.02743,0.658334,1,94.62,32.95,-16.251,316.637,97.3,58.18,-99
52947.02778,0.666668,1,94.34,32.89,-16.23,316.648,96.2,57.44,-99
52947.02813,0.675001,1,94.06,32.82,-16.209,316.659,96.36,57.47,-99
52947.02847,0.683334,1,93.79,32.76,-16.189,316.669,96.3,57.36,-99
52947.02882,0.691668,1,93.51,32.7,-16.168,316.68,95.45,56.78,-99
52947.02917,0.700001,1,93.23,32.64,-16.147,316.691,95.78,56.9,-99
52947.02951,0.708334,1,92.95,32.57,-16.126,316.702,96.21,57.09,-99
52947.02986,0.716668,1,92.67,32.51,-16.105,316.713,96.19,57.01,-99
52947.03021,0.725001,1,92.4,32.44,-16.084,316.723,95.37,56.44,-99
52947.03056,0.733334,1,92.12,32.38,-16.062,316.734,95.26,56.3,-99
52947.0309,0.741668,1,91.84,32.31,-16.041,316.745,95.36,56.28,-99
52947.03125,0.750001,1,91.57,32.24,-16.02,316.756,95.25,56.14,-99
52947.0316,0.758334,1,91.29,32.18,-15.998,316.767,95.25,56.07,-99
52947.03194,0.766668,1,91.02,32.11,-15.977,316.778,95.12,55.91,-99
52947.03229,0.775001,1,90.74,32.04,-15.955,316.789,95.12,55.84,-99
52947.03264,0.783334,1,90.47,31.97,-15.934,316.799,95.16,55.78,-99
52947.03299,0.791668,1,90.2,31.9,-15.912,316.81,95.02,55.62,-99
52947.03333,0.800001,1,89.92,31.83,-15.89,316.821,95.02,55.54,-99
52947.03403,0.816668,1,89.38,31.69,-15.847,316.843,95.02,55.38,-99
52947.03438,0.825001,1,89.1,31.62,-15.825,316.854,95.54,55.6,-99
52947.03472,0.833335,1,88.83,31.55,-15.803,316.865,95.54,55.52,-99
52947.03507,0.841668,1,88.56,31.47,-15.781,316.876,95.86,55.63,-99
52947.03542,0.850001,1,88.29,31.4,-15.758,316.887,96.02,55.64,-99
52947.03576,0.858335,1,88.02,31.33,-15.736,316.898,95.91,55.49,-99
52947.03611,0.866668,1,87.75,31.25,-15.714,316.909,95.91,55.4,-99
52947.03646,0.875001,1,87.48,31.18,-15.691,316.92,95.91,55.32,-99
52947.03681,0.883335,1,87.21,31.1,-15.669,316.931,95.42,54.95,-99
52947.03715,0.891668,1,86.94,31.02,-15.646,316.942,95.42,54.86,-99
52947.0375,0.900001,1,86.68,30.95,-15.624,316.953,95.56,54.86,-99
52947.03785,0.908335,1,86.41,30.87,-15.601,316.964,95.54,54.76,-99
52947.0382,0.916668,1,86.14,30.79,-15.578,316.975,95.55,54.68,-99
52947.03854,0.925001,1,85.88,30.72,-15.555,316.987,95.95,54.82,-99
52947.03889,0.933335,1,85.61,30.64,-15.532,316.998,95.6,54.53,-99
52947.03924,0.941668,1,85.34,30.56,-15.509,317.009,95.11,54.15,-99
52947.03958,0.950001,1,85.08,30.48,-15.486,317.02,94.96,53.98,-99
52947.03993,0.958335,1,84.81,30.4,-15.463,317.031,94.73,53.75,-99
52947.04028,0.966668,1,84.55,30.32,-15.44,317.043,94.96,53.8,-99
52947.04063,0.975002,1,84.29,30.23,-15.416,317.054,94.94,53.69,-99
52947.04097,0.983335,1,84.02,30.15,-15.393,317.066,94.92,53.59,-99
52947.04132,0.991668,1,83.76,30.07,-15.369,317.077,94.86,53.46,-99
52947.04167,1.000002,1,83.5,29.99,-15.346,317.088,94.88,53.38,-99
52947.04201,1.008335,1,83.24,29.9,-15.322,317.1,94.68,53.17,-99
52947.04236,1.016668,1,82.98,29.82,-15.298,317.111,94.41,52.92,-99
52947.04271,1.025002,1,82.72,29.73,-15.274,317.123,94.22,52.72,-99
52947.04306,1.033335,1,82.46,29.65,-15.25,317.134,93.95,52.47,-99
52947.0434,1.041668,1,82.2,29.56,-15.226,317.146,94.29,52.57,-99
52947.04375,1.050002,1,81.94,29.48,-15.202,317.158,94.54,52.61,-99
52947.0441,1.058335,1,81.68,29.39,-15.177,317.169,94.54,52.51,-99
52947.04445,1.066668,1,81.42,29.3,-15.153,317.181,94.48,52.38,-99
52947.04479,1.075002,1,81.17,29.21,-15.128,317.193,94.97,52.55,-99
52947.04514,1.083335,1,80.91,29.13,-15.104,317.205,95.44,52.72,-99
52947.04549,1.091668,1,80.66,29.04,-15.079,317.217,95.59,52.7,-99
52947.04583,1.100002,1,80.4,28.95,-15.054,317.229,95.78,52.71,-99
52947.04618,1.108335,1,80.15,28.86,-15.029,317.24,95.94,52.69,-99
52947.04653,1.116668,1,79.89,28.77,-15.004,317.252,95.92,52.58,-99
52947.04688,1.125002,1,79.64,28.67,-14.979,317.265,95.75,52.38,-99
52947.04722,1.133335,1,79.39,28.58,-14.954,317.277,95.57,52.17,-99
52947.04757,1.141669,1,79.13,28.49,-14.929,317.289,95.47,52.01,-99
52947.04792,1.150002,1,78.88,28.4,-14.903,317.301,95.21,51.76,-99
52947.04826,1.158335,1,78.63,28.3,-14.878,317.313,94.71,51.38,-99
52947.04861,1.166669,1,78.38,28.21,-14.852,317.326,94.38,51.1,-99
