MJdatet, Time, PRN, Az, Ele, Lat, Lon, Stec, Vtec, S4
52947.60764,14.58336,1,295.58,11.09,33.813,253.077,54.49,21.05,-99
52947.60799,14.591693,1,295.75,11.22,33.82,253.162,54.24,21.02,-99
52947.60833,14.600027,1,295.92,11.35,33.826,253.247,54.26,21.08,-99
52947.60868,14.60836,1,296.08,11.48,33.832,253.332,54.41,21.2,-99
52947.60903,14.616693,1,296.25,11.61,33.837,253.415,54.24,21.19,-99
52947.60938,14.625027,1,296.41,11.74,33.842,253.499,54.07,21.19,-99
52947.60972,14.63336,1,296.58,11.87,33.847,253.581,54.29,21.33,-99
52947.61007,14.641693,1,296.75,12,33.852,253.664,54.11,21.32,-99
52947.61042,14.650027,1,296.91,12.13,33.857,253.745,54.19,21.41,-99
52947.61077,14.65836,1,297.08,12.26,33.861,253.826,54.36,21.53,-99
52947.61111,14.666693,1,297.24,12.39,33.865,253.907,54.05,21.48,-99
52947.61146,14.675027,1,297.41,12.52,33.868,253.987,54.22,21.61,-99
52947.61181,14.68336,1,297.57,12.65,33.872,254.066,54.13,21.63,-99
52947.61215,14.691693,1,297.74,12.78,33.875,254.145,54.27,21.75,-99
52947.6125,14.700027,1,297.9,12.92,33.878,254.223,54.31,21.83,-99
52947.61285,14.70836,1,298.06,13.05,33.88,254.301,54.12,21.82,-99
52947.6132,14.716693,1,298.23,13.18,33.883,254.379,54.03,21.85,-99
52947.61354,14.725027,1,298.39,13.31,33.885,254.455,54.04,21.92,-99
52947.61389,14.73336,1,298.56,13.45,33.886,254.532,53.96,21.95,-99
52947.61424,14.741693,1,298.72,13.58,33.888,254.607,54.18,22.11,-99
52947.61458,14.750027,1,298.89,13.71,33.89,254.683,54.03,22.11,-99
52947.61493,14.75836,1,299.05,13.85,33.891,254.757,54.04,22.19,-99
52947.61528,14.766694,1,299.21,13.98,33.892,254.832,53.93,22.21,-99
52947.61563,14.775027,1,299.38,14.11,33.892,254.905,53.98,22.3,-99
52947.61597,14.78336,1,299.54,14.25,33.893,254.978,53.97,22.36,-99
52947.61632,14.791694,1,299.7,14.38,33.893,255.051,54.04,22.46,-99
52947.61667,14.800027,1,299.86,14.52,33.893,255.123,53.93,22.48,-99
52947.61702,14.80836,1,300.03,14.65,33.893,255.195,53.96,22.57,-99
52947.61736,14.816694,1,300.19,14.79,33.893,255.266,54.02,22.66,-99
52947.6184,14.841694,1,300.68,15.19,33.89,255.477,54.02,22.87,-99
52947.61875,14.850027,1,300.84,15.33,33.889,255.546,53.99,22.94,-99
52947.6191,14.85836,1,301,15.47,33.888,255.615,53.94,22.99,-99
52947.61945,14.866694,1,301.16,15.6,33.886,255.683,54.04,23.1,-99
52947.61979,14.875027,1,301.32,15.74,33.885,255.751,53.93,23.13,-99
52947.62014,14.88336,1,301.48,15.88,33.883,255.818,53.96,23.22,-99
52947.62049,14.891694,1,301.65,16.01,33.881,255.885,53.82,23.23,-99
52947.62083,14.900027,1,301.81,16.15,33.878,255.951,53.86,23.33,-99
52947.62118,14.908361,1,301.97,16.29,33.876,256.017,53.82,23.38,-99
52947.62153,14.916694,1,302.13,16.43,33.873,256.083,53.75,23.43,-99
52947.62188,14.925027,1,302.29,16.57,33.871,256.148,53.49,23.4,-99
52947.62222,14.933361,1,302.45,16.7,33.868,256.212,53.49,23.47,-99
52947.62257,14.941694,1,302.61,16.84,33.864,256.276,53.54,23.57,-99
52947.62292,14.950027,1,302.77,16.98,33.861,256.34,53.36,23.57,-99
52947.62327,14.958361,1,302.93,17.12,33.858,256.403,53.26,23.61,-99
52947.62361,14.966694,1,303.09,17.26,33.854,256.466,53.12,23.63,-99
52947.62396,14.975027,1,303.25,17.4,33.85,256.528,53.08,23.69,-99
52947.62431,14.983361,1,303.41,17.54,33.847,256.59,53.13,23.79,-99
