Mjdatet, Time, PRN, Az, Ele, Lat, Lon, Stec, Vtec, S4
52947.17257,4.141666,1,321.31,12.6,39.169,122.784,76.67,27.11,-99
52947.17292,4.15,1,321.27,12.78,39.103,122.851,76.35,27.11,-99
52947.17326,4.158333,1,321.22,12.97,39.039,122.917,76.04,27.12,-99
52947.17361,4.166666,1,321.18,13.15,38.975,122.981,75.8,27.15,-99
52947.17396,4.175,1,321.13,13.33,38.911,123.045,75.4,27.12,-99
52947.17431,4.183333,1,321.09,13.52,38.848,123.107,75.04,27.11,-99
52947.17465,4.191666,1,321.04,13.7,38.786,123.169,74.74,27.12,-99
52947.175,4.2,1,320.99,13.88,38.725,123.23,74.43,27.13,-99
52947.17535,4.208333,1,320.94,14.07,38.664,123.289,74.2,27.16,-99
52947.17569,4.216666,1,320.89,14.25,38.604,123.348,73.85,27.15,-99
52947.17604,4.225,1,320.84,14.43,38.544,123.406,73.65,27.2,-99
52947.17639,4.233333,1,320.79,14.62,38.485,123.463,73.3,27.19,-99
52947.17674,4.241666,1,320.74,14.8,38.427,123.519,72.98,27.19,-99
52947.17708,4.25,1,320.68,14.98,38.369,123.574,72.83,27.26,-99
52947.17743,4.258333,1,320.63,15.16,38.312,123.628,72.5,27.26,-99
52947.17778,4.266666,1,320.57,15.35,38.255,123.682,72.36,27.33,-99
52947.17813,4.275,1,320.51,15.53,38.199,123.734,72.1,27.36,-99
52947.17847,4.283333,1,320.45,15.71,38.144,123.786,71.96,27.43,-99
52947.17882,4.291666,1,320.39,15.89,38.089,123.837,71.7,27.46,-99
52947.17917,4.3,1,320.33,16.08,38.034,123.887,71.5,27.51,-99
52947.17951,4.308333,1,320.27,16.26,37.981,123.937,71.31,27.56,-99
52947.17986,4.316666,1,320.21,16.44,37.927,123.985,71.08,27.59,-99
52947.18021,4.325,1,320.15,16.62,37.875,124.033,70.95,27.67,-99
52947.18056,4.333333,1,320.08,16.8,37.822,124.08,70.76,27.73,-99
52947.1809,4.341666,1,320.02,16.98,37.771,124.127,70.4,27.71,-99
52947.18125,4.35,1,319.95,17.17,37.719,124.172,70.31,27.8,-99
52947.1816,4.358333,1,319.88,17.35,37.669,124.217,70.13,27.86,-99
52947.18194,4.366666,1,319.81,17.53,37.619,124.262,69.88,27.88,-99
52947.18229,4.375,1,319.74,17.71,37.569,124.305,69.52,27.86,-99
52947.18264,4.383333,1,319.67,17.89,37.52,124.348,69.3,27.9,-99
52947.18299,4.391666,1,319.6,18.07,37.471,124.39,68.87,27.85,-99
52947.18333,4.4,1,319.52,18.25,37.423,124.432,68.6,27.87,-99
52947.18368,4.408333,1,319.45,18.43,37.375,124.473,68.34,27.88,-99
52947.18403,4.416666,1,319.37,18.61,37.328,124.513,68.01,27.87,-99
52947.18438,4.425,1,319.3,18.79,37.281,124.553,67.78,27.9,-99
52947.18472,4.433333,1,319.22,18.97,37.235,124.592,67.57,27.94,-99
52947.18507,4.441666,1,319.14,19.15,37.189,124.631,67.32,27.96,-99
52947.18542,4.45,1,319.06,19.33,37.143,124.669,67.03,27.96,-99
