MJdatet, Time, PRN, Az, Ele, Lat, Lon, Stec, Vtec, S4
52947.66528,15.966682,1,322.57,35.34,30.992,260.101,42.35,24.46,-99
52947.66563,15.975015,1,322.72,35.52,30.981,260.127,42.33,24.54,-99
52947.66597,15.983348,1,322.87,35.69,30.969,260.153,42.21,24.54,-99
52947.66632,15.991682,1,323.02,35.86,30.958,260.178,42.16,24.6,-99
52947.66667,16.000015,1,323.16,36.03,30.946,260.204,42.13,24.66,-99
52947.66702,16.008349,1,323.31,36.2,30.934,260.229,42.06,24.7,-99
52947.66736,16.016682,1,323.45,36.38,30.923,260.255,42.1,24.81,-99
52947.66771,16.025015,1,323.6,36.55,30.911,260.28,42.03,24.85,-99
52947.66806,16.033349,1,323.75,36.72,30.899,260.305,42.01,24.92,-99
52947.6684,16.041682,1,323.89,36.9,30.888,260.329,42.03,25.02,-99
52947.66875,16.050015,1,324.04,37.07,30.876,260.354,41.9,25.02,-99
52947.6691,16.058349,1,324.18,37.25,30.864,260.378,41.92,25.11,-99
52947.66945,16.066682,1,324.33,37.42,30.852,260.403,41.86,25.16,-99
52947.66979,16.075015,1,324.48,37.6,30.84,260.427,41.8,25.2,-99
52947.67014,16.083349,1,324.62,37.77,30.829,260.451,41.79,25.28,-99
52947.67049,16.091682,1,324.77,37.95,30.817,260.474,41.72,25.32,-99
52947.67083,16.100015,1,324.91,38.13,30.805,260.498,41.7,25.39,-99
52947.67118,16.108349,1,325.06,38.3,30.793,260.521,41.61,25.42,-99
52947.67153,16.116682,1,325.2,38.48,30.781,260.544,41.59,25.49,-99
52947.67188,16.125016,1,325.35,38.66,30.769,260.568,41.6,25.58,-99
52947.67222,16.133349,1,325.49,38.84,30.757,260.59,41.54,25.62,-99
52947.67257,16.141682,1,325.63,39.02,30.745,260.613,41.56,25.72,-99
52947.67292,16.150016,1,325.78,39.19,30.733,260.636,41.48,25.75,-99
52947.67327,16.158349,1,325.92,39.37,30.721,260.658,41.44,25.81,-99
52947.67361,16.166682,1,326.07,39.55,30.71,260.681,41.45,25.9,-99
52947.67396,16.175016,1,326.21,39.73,30.698,260.703,41.42,25.96,-99
52947.67431,16.183349,1,326.35,39.91,30.686,260.725,41.42,26.04,-99
52947.67465,16.191682,1,326.5,40.1,30.673,260.746,41.31,26.05,-99
52947.675,16.200016,1,326.64,40.28,30.661,260.768,41.32,26.15,-99
52947.67535,16.208349,1,326.78,40.46,30.649,260.79,41.31,26.22,-99
52947.6757,16.216682,1,326.93,40.64,30.637,260.811,41.25,26.26,-99
52947.67604,16.225016,1,327.07,40.82,30.625,260.832,41.28,26.37,-99
52947.67639,16.233349,1,327.21,41.01,30.613,260.853,41.22,26.41,-99
52947.67674,16.241682,1,327.36,41.19,30.601,260.874,41.18,26.47,-99
52947.67708,16.250016,1,327.5,41.37,30.589,260.895,41.17,26.54,-99
52947.67743,16.258349,1,327.64,41.56,30.577,260.915,41.13,26.6,-99
52947.67778,16.266682,1,327.79,41.74,30.565,260.936,41.13,26.68,-99
52947.67813,16.275016,1,327.93,41.92,30.553,260.956,41.01,26.68,-99
52947.67847,16.283349,1,328.07,42.11,30.541,260.976,40.98,26.74,-99
52947.67882,16.291683,1,328.21,42.3,30.528,260.997,40.91,26.78,-99
52947.67917,16.300016,1,328.36,42.48,30.516,261.016,40.85,26.82,-99
52947.67952,16.308349,1,328.5,42.67,30.504,261.036,40.87,26.91,-99
52947.67986,16.316682,1,328.64,42.85,30.492,261.056,40.78,26.93,-99
52947.68021,16.325016,1,328.78,43.04,30.48,261.075,40.78,27.01,-99
52947.68056,16.333349,1,328.92,43.23,30.467,261.095,40.77,27.09,-99
52947.6809,16.341682,1,329.07,43.42,30.455,261.114,40.72,27.13,-99
52947.68125,16.350016,1,329.21,43.6,30.443,261.133,40.74,27.23,-99
52947.6816,16.358349,1,329.35,43.79,30.431,261.152,40.65,27.25,-99
52947.68195,16.366682,1,329.49,43.98,30.419,261.171,40.72,27.39,-99
52947.68229,16.375016,1,329.63,44.17,30.406,261.189,40.68,27.43,-99
52947.68264,16.383349,1,329.77,44.36,30.394,261.208,40.65,27.49,-99
52947.68299,16.391683,1,329.92,44.55,30.382,261.226,40.69,27.61,-99
52947.68333,16.400016,1,330.06,44.74,30.37,261.245,40.6,27.62,-99
52947.68368,16.408349,1,330.2,44.93,30.357,261.263,40.62,27.72,-99
52947.68403,16.416683,1,330.34,45.12,30.345,261.281,40.6,27.79,-99
52947.68438,16.425016,1,330.48,45.31,30.333,261.299,40.59,27.86,-99
52947.68472,16.433349,1,330.62,45.51,30.321,261.316,40.6,27.95,-99
52947.68507,16.441683,1,330.76,45.7,30.308,261.334,40.52,27.98,-99
52947.68542,16.450016,1,330.9,45.89,30.296,261.352,40.57,28.1,-99
52947.68577,16.458349,1,331.05,46.08,30.284,261.369,40.5,28.12,-99
52947.68611,16.466683,1,331.19,46.28,30.271,261.386,40.51,28.21,-99
52947.68646,16.475016,1,331.33,46.47,30.259,261.403,40.55,28.32,-99
52947.68681,16.483349,1,331.47,46.67,30.247,261.42,40.42,28.31,-99
52947.68715,16.491683,1,331.61,46.86,30.234,261.437,40.46,28.42,-99
52947.6875,16.500016,1,331.75,47.06,30.222,261.454,40.43,28.48,-99
52947.68785,16.508349,1,331.89,47.25,30.21,261.471,40.46,28.58,-99
52947.6882,16.516683,1,332.03,47.45,30.197,261.487,40.49,28.68,-99
52947.68854,16.525016,1,332.17,47.64,30.185,261.504,40.38,28.68,-99
52947.68889,16.53335,1,332.31,47.84,30.173,261.52,40.44,28.81,-99
52947.68924,16.541683,1,332.45,48.04,30.16,261.536,40.39,28.84,-99
52947.68958,16.550016,1,332.6,48.23,30.148,261.552,40.41,28.95,-99
52947.68993,16.55835,1,332.74,48.43,30.136,261.568,40.46,29.06,-99
52947.69028,16.566683,1,332.88,48.63,30.123,261.584,40.36,29.07,-99
52947.69063,16.575016,1,333.02,48.83,30.111,261.6,40.42,29.19,-99
52947.69097,16.58335,1,333.16,49.03,30.099,261.616,40.37,29.23,-99
52947.69132,16.591683,1,333.3,49.23,30.086,261.631,40.32,29.27,-99
52947.69167,16.600016,1,333.44,49.43,30.074,261.646,40.3,29.34,-99
52947.69202,16.60835,1,333.58,49.63,30.062,261.662,40.24,29.37,-99
52947.69236,16.616683,1,333.72,49.83,30.049,261.677,40.27,29.47,-99
52947.69271,16.625016,1,333.86,50.03,30.037,261.692,40.14,29.44,-99
52947.69306,16.63335,1,334.01,50.23,30.025,261.707,40.12,29.51,-99
52947.6934,16.641683,1,334.15,50.43,30.012,261.722,40.12,29.58,-99
