MJdatet, Time, PRN, Az, Ele, Lat, Lon, Stec, Vtec, S4
52947.07986,1.916667,1,88.19,10.1,41.159,303.716,24.73,7.57,-99
52947.08021,1.925,1,88,10.21,41.203,303.644,24.62,7.55,-99
52947.08056,1.933334,1,87.81,10.32,41.246,303.572,24.58,7.56,-99
52947.0809,1.941667,1,87.62,10.43,41.289,303.501,24.48,7.54,-99
52947.08125,1.95,1,87.43,10.54,41.332,303.431,24.37,7.52,-99
52947.0816,1.958334,1,87.24,10.65,41.374,303.361,24.24,7.5,-99
52947.08194,1.966667,1,87.04,10.76,41.415,303.292,24.06,7.45,-99
52947.08229,1.975,1,86.85,10.87,41.457,303.224,23.98,7.44,-99
52947.08264,1.983334,1,86.66,10.98,41.497,303.156,23.82,7.4,-99
52947.08299,1.991667,1,86.47,11.08,41.538,303.088,23.76,7.4,-99
52947.08333,2,1,86.27,11.19,41.578,303.022,23.67,7.39,-99
52947.08368,2.008334,1,86.08,11.3,41.618,302.955,23.56,7.37,-99
52947.08403,2.016667,1,85.88,11.4,41.657,302.89,23.41,7.34,-99
52947.08438,2.025,1,85.69,11.51,41.696,302.825,23.3,7.31,-99
52947.08472,2.033334,1,85.49,11.61,41.735,302.76,23.07,7.25,-99
52947.08507,2.041667,1,85.3,11.72,41.773,302.696,22.94,7.22,-99
52947.08542,2.05,1,85.1,11.82,41.811,302.633,22.78,7.18,-99
52947.08576,2.058334,1,84.91,11.93,41.849,302.57,22.74,7.19,-99
52947.08611,2.066667,1,84.71,12.03,41.886,302.508,22.66,7.18,-99
52947.08646,2.075,1,84.51,12.13,41.923,302.446,22.52,7.14,-99
52947.08681,2.083334,1,84.32,12.23,41.959,302.385,22.39,7.12,-99
52947.08715,2.091667,1,84.12,12.33,41.996,302.324,22.24,7.08,-99
52947.0875,2.1,1,83.92,12.43,42.032,302.264,22.06,7.03,-99
52947.08785,2.108334,1,83.72,12.53,42.068,302.205,21.94,7,-99
52947.08819,2.116667,1,83.52,12.63,42.103,302.146,21.84,6.99,-99
52947.08854,2.125,1,83.32,12.73,42.138,302.087,21.76,6.97,-99
52947.08889,2.133334,1,83.12,12.83,42.173,302.03,21.71,6.97,-99
52947.08924,2.141667,1,82.92,12.93,42.208,301.972,21.47,6.9,-99
52947.08958,2.15,1,82.72,13.02,42.242,301.915,21.45,6.91,-99
52947.08993,2.158334,1,82.52,13.12,42.276,301.859,21.28,6.86,-99
52947.09028,2.166667,1,82.32,13.21,42.31,301.803,21.2,6.85,-99
52947.09063,2.175,1,82.12,13.31,42.343,301.748,21.04,6.81,-99
52947.09097,2.183334,1,81.92,13.4,42.377,301.693,20.98,6.8,-99
52947.09132,2.191667,1,81.71,13.5,42.41,301.639,20.84,6.77,-99
52947.09167,2.2,1,81.51,13.59,42.442,301.585,20.72,6.74,-99
52947.09201,2.208334,1,81.31,13.68,42.475,301.532,20.61,6.71,-99
52947.09236,2.216667,1,81.1,13.77,42.507,301.479,20.52,6.69,-99
52947.09271,2.225,1,80.9,13.86,42.539,301.427,20.42,6.67,-99
52947.09306,2.233334,1,80.69,13.95,42.571,301.375,20.34,6.66,-99
52947.0934,2.241667,1,80.49,14.04,42.603,301.324,20.26,6.64,-99
52947.09375,2.25,1,80.28,14.13,42.634,301.273,20.16,6.62,-99
52947.0941,2.258334,1,80.08,14.22,42.665,301.222,20.03,6.59,-99
52947.09444,2.266667,1,79.87,14.31,42.696,301.173,19.95,6.57,-99
52947.09479,2.275,1,79.67,14.39,42.727,301.123,19.93,6.58,-99
52947.09514,2.283334,1,79.46,14.48,42.758,301.074,19.85,6.56,-99
52947.09549,2.291667,1,79.25,14.56,42.788,301.026,19.78,6.55,-99
52947.09583,2.3,1,79.05,14.65,42.818,300.978,19.65,6.52,-99
52947.09618,2.308334,1,78.84,14.73,42.848,300.93,19.58,6.5,-99
52947.09653,2.316667,1,78.63,14.81,42.878,300.883,19.48,6.48,-99
52947.09688,2.325,1,78.42,14.9,42.908,300.837,19.36,6.45,-99
52947.09722,2.333334,1,78.21,14.98,42.937,300.79,19.31,6.45,-99
52947.09757,2.341667,1,78,15.06,42.967,300.745,19.18,6.41,-99
52947.09792,2.35,1,77.79,15.14,42.996,300.699,19.12,6.4,-99
52947.09826,2.358334,1,77.58,15.22,43.025,300.655,19,6.36,-99
52947.09861,2.366667,1,77.37,15.3,43.054,300.61,18.89,6.34,-99
